city,prefecture,area
旭川市,北海道,東北
函館市,北海道,東北
苫小牧市,北海道,東北
帯広市,北海道,東北
釧路市,北海道,東北
江別市,北海道,東北
北見市,北海道,東北
小樽市,北海道,東北
千歳市,北海道,東北
室蘭市,北海道,東北
岩見沢市,北海道,東北
恵庭市,北海道,東北
北広島市,北海道,東北
石狩市,北海道,東北
登別市,北海道,東北
北斗市,北海道,東北
滝川市,北海道,東北
網走市,北海道,東北
稚内市,北海道,東北
名寄市,北海道,東北
根室市,北海道,東北
紋別市,北海道,東北
富良野市,北海道,東北
美唄市,北海道,東北
留萌市,北海道,東北
深川市,北海道,東北
士別市,北海道,東北
砂川市,北海道,東北
芦別市,北海道,東北
赤平市,北海道,東北
三笠市,北海道,東北
夕張市,北海道,東北
青森市,青森県,東北
八戸市,青森県,東北
弘前市,青森県,東北
十和田市,青森県,東北
むつ市,青森県,東北
五所川原市,青森県,東北
三沢市,青森県,東北
黒石市,青森県,東北
つがる市,青森県,東北
平川市,青森県,東北
盛岡市,岩手県,東北
奥州市,岩手県,東北
一関市,岩手県,東北
花巻市,岩手県,東北
北上市,岩手県,東北
滝沢市,岩手県,東北
宮古市,岩手県,東北
大船渡市,岩手県,東北
久慈市,岩手県,東北
釜石市,岩手県,東北
二戸市,岩手県,東北
遠野市,岩手県,東北
八幡平市,岩手県,東北
陸前高田市,岩手県,東北
石巻市,宮城県,東北
大崎市,宮城県,東北
名取市,宮城県,東北
登米市,宮城県,東北
栗原市,宮城県,東北
多賀城市,宮城県,東北
気仙沼市,宮城県,東北
塩竈市,宮城県,東北
富谷市,宮城県,東北
岩沼市,宮城県,東北
東松島市,宮城県,東北
白石市,宮城県,東北
角田市,宮城県,東北
秋田市,秋田県,東北
横手市,秋田県,東北
大仙市,秋田県,東北
由利本荘市,秋田県,東北
大館市,秋田県,東北
能代市,秋田県,東北
湯沢市,秋田県,東北
潟上市,秋田県,東北
北秋田市,秋田県,東北
鹿角市,秋田県,東北
男鹿市,秋田県,東北
仙北市,秋田県,東北
にかほ市,秋田県,東北
山形市,山形県,東北
鶴岡市,山形県,東北
酒田市,山形県,東北
米沢市,山形県,東北
天童市,山形県,東北
東根市,山形県,東北
寒河江市,山形県,東北
新庄市,山形県,東北
南陽市,山形県,東北
上山市,山形県,東北
長井市,山形県,東北
村山市,山形県,東北
尾花沢市,山形県,東北
いわき市,福島県,東北
郡山市,福島県,東北
福島市,福島県,東北
会津若松市,福島県,東北
須賀川市,福島県,東北
白河市,福島県,東北
南相馬市,福島県,東北
二本松市,福島県,東北
喜多方市,福島県,東北
田村市,福島県,東北
相馬市,福島県,東北
本宮市,福島県,東北
水戸市,茨城県,関東
つくば市,茨城県,関東
日立市,茨城県,関東
ひたちなか市,茨城県,関東
土浦市,茨城県,関東
古河市,茨城県,関東
取手市,茨城県,関東
筑西市,茨城県,関東
神栖市,茨城県,関東
牛久市,茨城県,関東
龍ケ崎市,茨城県,関東
笠間市,茨城県,関東
石岡市,茨城県,関東
守谷市,茨城県,関東
鹿嶋市,茨城県,関東
常総市,茨城県,関東
那珂市,茨城県,関東
坂東市,茨城県,関東
結城市,茨城県,関東
つくばみらい市,茨城県,関東
小美玉市,茨城県,関東
常陸太田市,茨城県,関東
鉾田市,茨城県,関東
下妻市,茨城県,関東
北茨城市,茨城県,関東
かすみがうら市,茨城県,関東
常陸大宮市,茨城県,関東
桜川市,茨城県,関東
稲敷市,茨城県,関東
行方市,茨城県,関東
高萩市,茨城県,関東
潮来市,茨城県,関東
宇都宮市,栃木県,関東
小山市,栃木県,関東
栃木市,栃木県,関東
足利市,栃木県,関東
佐野市,栃木県,関東
那須塩原市,栃木県,関東
鹿沼市,栃木県,関東
真岡市,栃木県,関東
日光市,栃木県,関東
大田原市,栃木県,関東
下野市,栃木県,関東
さくら市,栃木県,関東
矢板市,栃木県,関東
那須烏山市,栃木県,関東
高崎市,群馬県,関東
前橋市,群馬県,関東
太田市,群馬県,関東
伊勢崎市,群馬県,関東
桐生市,群馬県,関東
館林市,群馬県,関東
渋川市,群馬県,関東
藤岡市,群馬県,関東
安中市,群馬県,関東
みどり市,群馬県,関東
富岡市,群馬県,関東
沼田市,群馬県,関東
川口市,埼玉県,関東
川越市,埼玉県,関東
所沢市,埼玉県,関東
越谷市,埼玉県,関東
草加市,埼玉県,関東
春日部市,埼玉県,関東
上尾市,埼玉県,関東
熊谷市,埼玉県,関東
新座市,埼玉県,関東
久喜市,埼玉県,関東
狭山市,埼玉県,関東
入間市,埼玉県,関東
三郷市,埼玉県,関東
深谷市,埼玉県,関東
朝霞市,埼玉県,関東
戸田市,埼玉県,関東
鴻巣市,埼玉県,関東
ふじみ野市,埼玉県,関東
